company name,category,based in,tags,total funding,founded,website,company status
Colorsensing,Spain,Barcelona,"Food and Beverage, Health Care, Information Technology, Software",Between €100K-€500K,2018,https://www.color-sensing.com/,N/A
Colorsxstudios,Germany,Berlin,"Art, Music, Music Streaming",No funding announced yet,2017,https://colorsxstudios.com,N/A
Colossi Games,Cyprus,Limassol,"Computer Games, Gaming, mobile",Between €2.5 million-5 million,2020,https://colossi.games/,N/A
Colossyan,Germany,Berlin,"Video, Video Platform, Content, Software",Between €1 million-€ 2.5 million,2020,https://www.colossyan.com/,N/A
Column,Netherlands,Amsterdam,"Media and Entertainment, Mobile Apps, News, Social",No funding announced yet,2020,http://column-news.com/,N/A
Colvin,Spain,Barcelona,"eCommerce, Flower Bouquets, Online Florist, Flowers Delivery, Gifts",N/A,2016,www.thecolvinco.com,N/A
Coman Software,Germany,Gardelegen,"Computer, Software",Between €1 million-€ 2.5 million,2018,https://www.coman-software.com,N/A
Comarket,Romania,Bucharest,"B2B, Hospitality, Marketplace",Between €500K-€ 1 million,2020,https://www.comarket.ro,N/A
Comatch,Germany,Berlin,"matching, consultancy, network",N/A,2014,www.comatch.com,N/A
Combat Iq,UK,Saint Albans,"Artificial Intelligence, Fight Promotions, Media, Entertainment,",No funding announced yet,2022,https://combatiq.io/,N/A
Combine,Spain,Barcelona,"fintech, mobile, innovation",N/A,2016,http://getcombine.com/,N/A
Combinico,UK,"Saint Andrews, Fife",Food and Beverage,Between €100K-€500K,2017,https://combinico.com/,N/A
Combinostics,Finland,Tampere,"Enterprise Software, Health Diagnostics, Information Technology, Robotics, Software",Between €5 million-€10 million,2014,http://www.combinostics.com,N/A
Combostrike,Germany,Berlin,"Advertising, Brand Marketing, Creative Agency, Digital Media, Gaming",No funding announced yet,2018,https://www.combostrike.com/,N/A
Combuyit,Sweden,Skåne County,"Procurement, Tech, AI, Big Data",N/A,2017,https://www.combuyit.com,N/A
Comdaily,Germany,North Rhine-Westphalia,"Tech News, Industry Analysis, AI News & Insights",Between €100K-€500K,2025,https://comdaily.ai,Active
Comdocks,Germany,Hamburg,"B2B, Information Technology, Recruiting, Sales, Software",Between €1-€100K,2020,comdocks.com/,N/A
Comeclosely,UK,London,"Event Management, Internet, Social Media, Social Network",Between €500K-€ 1 million,2020,https://www.comeclosely.com/,N/A
Comeco,Germany,Stuttgart,"Financial Services, FinTech, Software",No funding announced yet,2018,https://www.comeco.com/,N/A
Comehome,Italy,Milan,"social network, sharing economy, events",Between €500K-€ 1 million,2017,https://comehome.fun/,N/A
Comestai,Italy,Montecelio,"Eating Disorders, Online Therapy, Mental Health",Between €100K-€500K,2024,https://comestai.net/,Active
