company name,category,based in,tags,total funding,founded,website,company status
Functionhr,Germany,Munich,"HR Tech, AI, Recruitment, Performance, functionHR, Munich",N/A,2016,https://www.functionhr.de,N/A
Fund Ourselves,UK,London,"Banking, Credit, Finance, Financial Services, FinTech, Marketplace, Peer to Peer, Venture Capital",Above €25 million,2016,https://fundourselves.com,N/A
Fund Tracker Click Look,Bulgaria,Sofia,"Financial Services, FinTech, Personal Finance",No funding announced yet,2019,https://fundtracker.io/,N/A
Fund Tracker Click Look Ltd,Bulgaria,Sofia,"Financial Services, FinTech, Personal Finance",No funding announced yet,2019,https://fundtracker.io/,N/A
Fundament Group,Germany,Berlin,"Blockchain, Cryptocurrency, Financial Services, FinTech, Real Estate",No funding announced yet,2018,https://www.fnd.group,N/A
Fundamentalvr,UK,London,"Virtual Reality, Mixed Reality, Medical Training, Simulation, Education",N/A,2012,http://www.fundamentalvr.com/,N/A
Fundastik Kft,Hungary,Veszprém,"Banking, Crowdfunding, Financial Services",Between €100K-€500K,2018,https://fundastik.com/,N/A
Fundathlon,Greece,Athens,"fundraising, athletes, team, sports",N/A,2017,http://www.fundathlon.com,N/A
Fundcraft,Luxembourg,Luxembourg,"Private Equity, Venture Capital, Funds, Financial Services",No funding announced yet,2020,https://www.fundcraft.lu/,Active
Fundedbyme,Sweden,Stockholm,"Equity Crowdfunding, Fundings, Invest, FundedByMe, Stockholm",N/A,2010,www.fundedbyme.com,N/A
Funder Inc,UK,London,"Charity, Gambling, Gaming, GreenTech, Social Impact, Sports, Subscription Service",No funding announced yet,2017,http://funder-inc.com/,N/A
Funderbeam,Estonia,Tallinn,"Investment Platform, Data Intelligence, FinTech, Investing, Trading",No funding announced yet,2013,https://www.funderbeam.com/,N/A
Fundify,UK,Newcastle,SaaS,Between €1-€100K,2018,https://wearefundify.org.uk/,Active
Fundinfolks,Lithuania,Vilnius,"Fundraising, Investment,",Between €1-€100K,2025,https://www.fundinfolks.com,Active
Funding Xchange,UK,London,"finance, funding",N/A,2014,http://www.fundingxchange.co.uk/,N/A
Fundingpartner,Norway,Oslo,"Financial Services, FinTech, Credit",No funding announced yet,2016,https://fundingpartner.no/,N/A
Fundler,Sweden,Stockholm,"Apps, Digital Media, Financial Services",Between €10 million-€25 million,2015,https://fundler.se//,N/A
Fundlo,Spain,Madrid,"Financial Services, Advertising Platforms, Advice",No funding announced yet,2021,https://www.fundlo.io/,Active
Fundra,Sweden,Stockholm,venturel capital fund management,No funding announced yet,2024,https://fundra.app,Active
Fundsdlt,Luxembourg,Luxembourg,"Asset Management, Blockchain, Financial Services, FinTech, IT Infrastructure",No funding announced yet,2020,https://www.fundsdlt.net/,N/A
Fundsfy,Spain,Valencia,"Banking, Financial Services, FinTech, Marketplace",Between €1 million-€ 2.5 million,2018,https://www.fundsfy.com/,N/A
Fundsq,Luxembourg,Livange,"fund, fintech, regulatory compliance, due diligence",No funding announced yet,2016,https://fundsq.com/,N/A
Fundsquire Uk,UK,London,"Financial Services, FinTech, Lending, Venture Capital",No funding announced yet,2017,https://www.fundsquire.co.uk/,N/A
Fundsup,Netherlands,Amsterdam,"investors, startups, matchmaking",No funding announced yet,2015,http://fundsup.co,N/A
Fundvis,Luxembourg,Luxembourg,"RegTech, FinTech, Fund, Financial Services",No funding announced yet,2022,https://fundvis.org,Active
Fundwise,Estonia,Tallinn,"Equity Crowdfunding, Funding, Invest, Fundwise, Tallinn,",N/A,2014,www.fundwise.me,N/A
Fundyou,Finland,Helsinki,"funding, early stage, platform",N/A,2016,http://fundyou.fi/,N/A
Funel,UK,London,"Client Management, Marketing Solutions, Sales Tools, Efficiency, Innovation, Productivity, User-Friendly, Security, Customization",No funding announced yet,2012,https://www.funel.io,Active
Funeralfolio,UK,London,"Funeral Tech, B2C product, SaaS",No funding announced yet,2024,"Funeral Tech, B2C product, SaaS",Active
Fung,Netherlands,Amsterdam,"Payments, PSP, On-ramping, Off-ramping, Web3, Crypto, NFT",Between €2.5 million-5 million,2022,https://www.fung.money,N/A
Fung Payments,Netherlands,Amsterdam,"payments , crypto, paying online",Between €2.5 million-5 million,2022,https://www.fung.money/,N/A
Fungaia Ug,Germany,Stendal,E-commerce,Between €1-€100K,2025,https://fungaia.de,Active
Funky Bots,Czechia,Prague,"Apps, Fitness, Gaming, Wearables",Between €100K-€500K,2014,http://www.funkybots.com,N/A
Funnel,Sweden,Stockholm,"AdTech, Analytics, Marketing, Funnel, Stockholm",N/A,2014,https://funnel.io,N/A
Funnelting Technologies,Netherlands,The Hague,"CRM, E-Commerce, Marketing",No funding announced yet,2018,https://funnelting.com/,N/A
Funos,Spain,Barcelona,"marketplace, funeral homes, compare",Between €1-€100K,2020,https://funos.es,N/A
Funpinpin,UK,"London, England","IT Services, IT Consulting, Ecommerce",No funding announced yet,2020,https://funpinpin.com/,N/A
Funzi,Finland,Espoo,"edTech, Education, eLearning, Funzi, Espoo",N/A,2014,www.funzi.fi,N/A
Fupping Media,UK,London,"Advertising, Content Marketing, Digital Marketing, Marketing Automation, Publishing, SEO",No funding announced yet,2018,https://fronted.rent/,N/A
Furbnow,UK,London,SaaS,Between €1 million-€ 2.5 million,2022,https://furbnow.com/,Active
Furhat Robotics,Sweden,Stockholm,"Robotics, AI, Conversational System, Furhat Robotics, Stockholm",N/A,2014,https://www.furhatrobotics.com,N/A
Furious Fox,UK,London,"Apps, Consulting, Information Technology, Internet, Mobile Apps, Software, Web Design, Web Development",No funding announced yet,2016,https://furiousfox.co.uk/,N/A
Furrychamp,Sweden,Stockholm,"Pet Insurance, Animal Health, Wellness",Between €500K-€ 1 million,2021,https://www.furrychamp.com/,N/A
Further Network,UK,Manchester,"Blockchain, Travel, B2B",No funding announced yet,2018,https://further.network/,N/A
Fuse,Germany,Berlin,"Apps, Dating, Mobile Apps",No funding announced yet,2017,http://www.fuse.dating,N/A
Fuse Dating,Germany,Berlin,"Dating App, Matching Platform, Social Network",N/A,2017,www.fuse.dating,N/A
Fuse Financial Technologies,UK,London,"Finance, Financial Services, FinTech",Between €1 million-€ 2.5 million,2023,https://fusebank.io,N/A
Fuse Games,UK,Guildford,"Computer Games, Digital Entertainment, Gaming",No funding announced yet,2023,https://fusegames.com/,N/A
Fuseaware,UK,London,"Analytics, Apps, SaaS",Between €2.5 million-5 million,2016,http://www.fuseaware.com,N/A
Fusebox Games,UK,London,"Digital Entertainment, Gaming, Media and Entertainment, Video Games",Between €1 million-€ 2.5 million,2016,http://www.fuseboxgames.com,N/A
Fused4,UK,London,"Internet, Professional Services, Project Management, Recruiting",No funding announced yet,2018,https://www.fused4.com/,N/A
Fuselio,UK,London,"MVP, AI, Mobile App, Mobile Development, Web App, Web Development",No funding announced yet,2024,https://www.fuselio.com,Active
Fusion Bionic Gmbh,Germany,Dresden,"biomimetic, manufacturing, lasertexturing, surface functionalization",Between €1 million-€ 2.5 million,2021,www.fusionbionic.com,N/A
Fusionbase,Germany,Munich,"BigData, SaaS",Above €25 million,2019,https://fusionbase.com/,Active
Fusionpay,UK,London,"E-Commerce, FinTech, Information Technology",No funding announced yet,2018,https://www.fusionpay.co.uk/,N/A
Futr,UK,London,"retail, marketing, commerce",N/A,2015,http://www.futr.today/,N/A
Futrli,UK,Brighton,"FinTech, Financial Forecasting Platform, Business planning",N/A,2014,www.futrli.com,N/A
Futrly,Finland,Tallinn,"Messaging App, Communication Tool, Social Media",N/A,2014,http://futrly.com,N/A
Futura,Italy,Milan,"E-Learning Providers, AI, EdTech",Between €10 million-€25 million,2020,https://www.futura.study/,Active
Futura Gaia,France,Rodilhan,"Environmental, Framing, Model",Between €10 million-€25 million,2018,https://futuragaia.com/en/home-en/,N/A
Futura Law Firm,Italy,Turin,"Advice, Legal, Professional Services",No funding announced yet,2021,https://www.futura.legal/,N/A
Futura Tickets,Spain,Madrid,"Software Development, Blockchain, Events, DigitalTransformation",Between €100K-€500K,2023,https://futuratickets.com,Active
Futura Vr Studio,Spain,Barcelona,"VR, AR, 360, Production",N/A,2017,https://www.futura.space/,N/A
Future Citizen Institute,Netherlands,Amsterdam,"Education, Financial Services, Publishing",No funding announced yet,2017,http://ifuturecitizen.com/,N/A
Future Demand,Germany,Berlin,"Marketing, Media, Entertainment, SaaS",No funding announced yet,2019,https://www.future-demand.com/,N/A
