company name,category,based in,tags,total funding,founded,website,company status
Dancann Pharma,Denmark,Ansager,"Biotechnology, Manufacturing, Medical, Pharmaceutical, Therapeutics",No funding announced yet,2018,http://www.dancann.com,N/A
Dance,Germany,Berlin,"Consumer, Electric Vehicle, Internet, Subscription Service",Between €10 million-€25 million,2020,www.dance.co/,N/A
Dancerbus,Lithuania,Klaipėda,"Mobility, Electric Vehicles, CleanTech",N/A,2011,www.dancerbus.com,N/A
Dandelier Ai,Finland,Finland,"AI, SaaS, Travel, Hospitality",Between €100K-€500K,2025,https://dandelier.com/,Active
Dandelin,Germany,Berlin,"FinTech, Health Care, Health Insurance, InsurTech, Personal Health",Between €100K-€500K,2017,http://www.dandelin.io,N/A
Daneel,France,Montpellier,"Artificial Intelligence, Blockchain, Cryptocurrency, Machine Learning",No funding announced yet,2018,daneel.io/,N/A
Danes Je Nov Dan,Slovenia,Ljubjana,"NGO, PolitTech, Parliamentary Monitoring Tool, Data Analytics",N/A,2013,www.danesjenovdan.si,N/A
Danish Reveal,Spain,Madrid,"E-Commerce, Internet Publishing, Lifestyle",No funding announced yet,2020,https://www.danishreveal.com,N/A
Danish Startup Group,Denmark,Denmark,"Education, one-stop-shop, seminars, events, networking, Denmark, Danishecossytem",N/A,2017,www.danishstartupgroup.com,N/A
Danishcarrental,Denmark,Kastrup,"Car Rental, Best Prices, Priority",No funding announced yet,2021,https://www.danishcarrental.com/,N/A
Daniwoo,France,Paris,"CRM, E-Learning, Information Technology",No funding announced yet,2019,https://daniwoo.io/,N/A
Dansk Outlet,Denmark,Ikast,"Consumer Goods, E-Commerce, Sales",No funding announced yet,2018,https://www.danskoutlet.dk,N/A
Danthree Studio,Germany,Dornstadt,"CGI, 3D, 3D Animation, 3D Visualization",No funding announced yet,2022,https://www.danthree.studio,N/A
Danu Robotics,UK,Edinburgh,"Artificial Intelligence, Recycling, Waste Management",No funding announced yet,2020,https://danurobotics.com/,N/A
Danube Dynamics,Austria,Linz,"Software Development, Embedded Computing, Hardware Design",No funding announced yet,2020,http://www.danube-dynamics.at/,Active
Daphne Technology Sa,Switzerland,Saint Sulpice,"cleantech, exhaust gas cleaning system",N/A,2018,www.daphnetechnology.com,N/A
