company name,category,based in,tags,total funding,founded,website,company status
Hopper Mobility,Germany,Augsburg,"Automotive, Electric Vehicle, Sustainability",Between €1-€100K,2021,https://hopper-mobility.com/,N/A
Hoppytrade,France,Lyon,"E-commerce, Online Shop, Internet, Craft Beer",Between €500K-€ 1 million,2018,hoppytrade.com/,N/A
Hopr,Switzerland,Zurich,"Technology, Privacy, Security",Between €500K-€ 1 million,2020,hoprnet.org/,N/A
Hopsa,Poland,Warsaw,"Travel Arrangements, Transportation, AI",Between €500K-€ 1 million,2023,https://hopsa.io,Active
Hoptroff,UK,London,"AI, Machine Learning, Financial Services, IoT",Between €5 million-€10 million,2015,https://www.hoptroff.com/,N/A
Hopu,Spain,Murcia,"artificial intelligence, environmental engineering, smart cities",Between €500K-€ 1 million,2014,https://hopu.eu/,N/A
Horago,Denmark,Esbjerg,"app, platform, guest ordering system, restaurants in-house,",Between €100K-€500K,2017,www.horago.com,N/A
Horavision,Italy,Catania,"Artificial Intelligence, Developer APIs, Developer Tools",No funding announced yet,2019,www.hora-vision.com,N/A
Horde,Norway,Bergen,"Apps, Financial Services, FinTech",Between €5 million-€10 million,2018,https://www.horde.no/,N/A
Horeich,Germany,Erlangen,"IoT, SaaS",Above €25 million,2019,https://horeich.de/,Active
Horizer,Germany,Berlin,"Solar Mobility, Smart Cities, Energy",No funding announced yet,2020,https://www.horizer.tech/,N/A
Horizn Studios,Germany,Berlin,"TravelTech, Travel Bags, Smart Luggage, Smart Accessories",N/A,2015,www.horizn-studios.com,N/A
Horizon 47,Portugal,Porto,"sound integration, audio, acoustics",N/A,2018,www.horizon47.com,N/A
Horizon3,Denmark,Esbjerg,"Investment, Innovative Growth, Quarterly Capitalism",No funding announced yet,2022,https://horizon3.dk/,N/A
Horizons,Germany,Berlin,Human Resources,No funding announced yet,2018,https://nhglobalpartners.com,N/A
Hormona,UK,London,"Fitness, Health Care, Wellness, Women",Between €1 million-€ 2.5 million,2019,https://www.hormona.io/en/,N/A
Hors Normes,France,Paris,"food waste, delivery, sustainability, e-grocery",Between €5 million-€10 million,2020,https://horsnormes.co,N/A
Hortee,Portugal,Aveiro,"SaaS, IoT",Between €1-€100K,2022,https://fhlud.com/,Active
Horticool,Slovenia,Ljubljana,"Artificial Intelligence, Home and Garden, Lifestyle",No funding announced yet,2015,https://www.horticool.com/,N/A
Horticure,Germany,Berlin,"plants, platform, green",N/A,2018,https://horticure.com,N/A
Hosco,Spain,Barcelona,"Hospitality, HR Tech, Job Board, Recruitment",N/A,2011,www.hosco.com,N/A
Hosman,France,Paris,"Real Estate, Marketing, Agency",Between €1 million-€ 2.5 million,2017,www.hosman.co/,N/A
Hospbit,Netherlands,"Amsterdam, Netherlands","SaaS, Management Systems, Web Service",N/A,2012,https://hospbit.com,N/A
Hospinov,France,Paris,"marketplace, platform, healthcare, innovation,",No funding announced yet,2020,https://hospinov.com,N/A
Host Box Online,Spain,Pamplona,"Technology, Information, Internet",No funding announced yet,2022,https://www.hostboxonline.com/,Active
Hostaway,Finland,Helsinki,"PropTech, Vacation Rentals, Airbnb Management, CRM",N/A,2015,www.hostaway.com,N/A
Hostclouder,UK,London,"Software, Web Development, Web Hosting",No funding announced yet,2023,https://www.hostclouder.com,N/A
Hosted Kitchens,Ireland,Dublin,"Food, Beverage, Manufacturing",Between €1 million-€ 2.5 million,2020,https://hostedkitchens.com/,N/A
Hostedmd,UK,Sheffield,"Markdown hosting,static site generator",No funding announced yet,2025,https://hosted.md,Active
Hostelle,Spain,Barcelona,"female, hostel, shared",No funding announced yet,2018,www.hostelle.com,N/A
Hostevent,Ireland,Melville,"events, event planning, event promotion",N/A,2019,https://www.hostevent.net/,N/A
Hosthero,UK,London,"Hospitality, Property Management, Real Estate, Vacation Rental",Between €1-€100K,2022,https://www.hosthero.me,N/A
Hosting Facts,Estonia,"Estonia, Tallinn.","web developers, designers, hosting",N/A,2015,https://hostingfacts.com,N/A
Hostingb2B,Cyprus,Larnaca,"Hosting, Servers, Cloud",No funding announced yet,2020,www.hostingb2b.com,N/A
Hostmaker,UK,London,"rentals, home, short-term",N/A,2014,hostmaker.com,N/A
Hostmate,Spain,Barcelona,"Hotels, Motels, Automate, AI",Between €100K-€500K,2025,https://hostmate.es/,Active
Hostnfly,France,Paris,"algorithms, rental, holidays",N/A,2016,https://www.hostnfly.com/,N/A
Hostyai,Portugal,Lisbon,"Airbnb, Business Consulting Services, SaaS, AI",Between €100K-€500K,2024,https://hostyai.com/,Active
Hosyai,Portugal,Lisbon,"Smart Hosting Assistant, 24/7 Virtual Concierge, AI-Powered Guest Communication",No funding announced yet,2024,https://hostyai.com/,Active
Hotailors,Poland,"Warsaw, Poland","saas, travel, business travel",N/A,2016,https://hotailors.com/en/,N/A
Hotbot,UK,England,"AI Chat, AI Chat Bots, AI Search",Between €1-€100K,2024,https://www.hotbot.com,Active
Hotbox Food,Italy,Maranello,"oven, food, delivery",N/A,2016,https://hotboxfood.it,N/A
Hotdeskplus,UK,London,"Developer APIs, SaaS, Software",No funding announced yet,2018,https://hotdeskplus.com,N/A
Hotel Manager,UK,London,"hotels, devices, experience, engagement",Between €1 million-€ 2.5 million,2019,hotelmanager.co,N/A
Hotel4Home,Germany,Berlin,"Hospitality, eCommerce, Exclusive Products",N/A,2012,http://www.hotel4home.com,N/A
Hotelbird,Germany,Munich,Hotel,Between €2.5 million-5 million,2015,http://hotelbird.com,N/A
Hotelbop,Greece,Athens,"Hospitality, Hotel, Apps",No funding announced yet,2020,https://hotelbop.com,N/A
Hotelbuuk,Germany,Maello,"Hotel Management Software, Commercial Outsourcing",No funding announced yet,2022,https://www.hotelmanager.es/,N/A
Hotelbuzz,Portugal,Lisbon,"Hospitality, Hotel Digital Marketing, MarTech",N/A,2012,http://hotelbuzz.pt/,N/A
Hotelchamp,Netherlands,Amsterdam,"booking, guest, hotels",N/A,2015,www.hotelchamp.com,N/A
Hotelcrux,Greece,Athens,"Enterprise Software, Hospitality, SaaS, Software",No funding announced yet,2019,https://hotelcrux.com/,N/A
