company name,category,based in,tags,total funding,founded,website,company status
01 Founders,UK,London,"AI, Blockchain, Cybersecurity, Gaming",No funding announced yet,2021,https://www.01founders.co/,N/A
011H,Spain,Barcelona,"Construction, Sustainability, Carbon Footprint",Between €10 million-€25 million,2020,http://www.011h.com/,N/A
0Credit,Belgium,Brussels,"Finance, FinTech, Property Management, Real Estate",No funding announced yet,2020,www.0credit.be,N/A
0W1 Audio,France,Aix les Milles,"Music Tech, IoT, Wireless Speaker, Smart Audio System",N/A,2017,www.0W1audio.com,N/A
0Xcert,Slovenia,Ljubljana,"Blockchain, Software,",No funding announced yet,2018,https://0xcert.org/,N/A
1 Account,UK,Worthing,"Software, Apps, Information Technology, Internet",No funding announced yet,2018,https://www.1account.net/,N/A
1 Brave Friend,UK,"London, England","Internet, Social Network, Social Growth Platform",Between €1-€100K,2020,https://1bravefriend.com/,N/A
1 Week,UK,London,"AI, microlearning, edtech",No funding announced yet,2019,https://1week.io,N/A
10 Days London,UK,London,"Advertising, Film Production, Marketing, Media and Entertainment",No funding announced yet,2020,https://www.10days.london/,N/A
10 Dots Only,Czechia,Prague,"game,ios,mobile",No funding announced yet,2024,https://apps.apple.com/app/10-dots-only/id6740242737,Active
100 Words,Germany,Heilbronn,"Information Technology, Software, Text Analytics",No funding announced yet,2017,https://www.100worte.de/,N/A
1000Farmacie,Italy,Milano,"Health Care, Information Technology, Medical, Software",No funding announced yet,2020,www.1000farmacie.it/,N/A
1000Kelvin,Germany,Berlin,"Digital Manufacturing, OEM Program, Software Vendor Program, End User Program",No funding announced yet,2021,https://1000kelvin.com/,N/A
100Asa,UK,London,"100asa,photography,photo sharing, social",No funding announced yet,2020,https://100asa.com,N/A
100Etiqueta,Portugal,Lisbon,"Sustainability, Clothing, Babies, Circular Economy",No funding announced yet,2020,https://www.100etiqueta.com/,N/A
1080 Coaching,Finland,Tampere,"Education, Sports",Between €1 million-€ 2.5 million,2023,https://www.1080coaching.com/,Active
10Ai,Germany,Hamburg,"AI, Big Data, Retail",Between €10 million-€25 million,2021,https://10ai.de/,Active
10Bn,UK,London,"social impact, CSR, ESG, purpose, sustainability",No funding announced yet,2023,www.10bn.com,Active
10K Riders,Cyprus,Limassol,"Mobile Publishing, F2P Games, Mobile Games, User Acquisition",Between €100K-€500K,2021,https://10000riders.com/,Active
10Lift,Germany,Berlin,"Employee Benefits, Human Resources, SaaS, Software, Wellness",No funding announced yet,2021,https://www.10lift.com,N/A
10Lines,Estonia,Tallinn,"Robotics, Manufacturing, Mobility",Between €500K-€ 1 million,2019,https://10-lines.com/,N/A
10Mets,Spain,Pontevedra,"Health, SaaS",Between €10 million-€25 million,2021,https://10mets.com/,Active
