company name,category,based in,tags,total funding,founded,website,company status
Socioviz,Italy,Milan,"Analytics, Digital Marketing, Information Technology, Non Profit",No funding announced yet,2019,https://socioviz.net,N/A
Socital,UK,London,"Analytics, Artificial Intelligence, E-Commerce, Marketing Automation, Personalization, SaaS, Software",Between €1 million-€ 2.5 million,2016,http://www.socital.com,N/A
Socius,Netherlands,Oslo,"Social Media, Content Marketing, AdTech",N/A,2016,www.socius.co,N/A
Sock Geeks,UK,Waterlooville,"Subscription Business, Subscription Box, Subscription Commerce",Between €1-€100K,2017,https://sockgeeks.co.uk,N/A
Sockstock,Germany,Düsseldorf,"sockstock, online shop socks, mens socks, female socks, baby socks",N/A,2019,https://www.sockstock.net/en/,N/A
Socopet,Italy,Rivalta Scrivia,"Packaging Services, Plastics, Rubber Manufacturing",Between €100K-€500K,2015,https://www.socojars.com/,N/A
Socrai,Belgium,Zellik,"Cyber Security, E-Learning, SaaS",No funding announced yet,2019,https://socrai.com,N/A
Socratic Owl,UK,London,"Education, Socratic Owl, AI homework helper, AI tutor",No funding announced yet,2024,https://apps.apple.com/us/app/socratic-owl-question-answer/id6502917782,Active
Socyza,Italy,Florence,"Internet, Software, Online",Between €1-€100K,2017,https://www.socyza.com/,N/A
Soda,Belgium,Brussels,"Data Analytics, Monitoring Platform, Data Protection",Between €10 million-€25 million,2018,www.soda.io,N/A
Soda Says,UK,UK,"Tech, Products, Services",N/A,2017,https://sodasays.com/,N/A
Sofetech,UK,London,"Blockchain, Technology, Information and Internet,",Between €1-€100K,2025,https://www.transfero.me/,Active
Sofia2Go,Bulgaria,Sofia,"Food, Beverage Services, Marketplace, Consulting",Between €100K-€500K,2021,https://www.foody.to,N/A
Soficreo,Slovakia,Bratislava,"Ed-Tech, Future of Educatin, Children On The Move, Migration",Between €500K-€ 1 million,2022,https://www.soficreo.com,Active
Sofitto,Belgium,Leuven,"Blockchain, Fintech, Cryptocurrency, Banking, Sofitto, Leuven",N/A,2016,https://sofitto.com,N/A
Soft Edge,Poland,Kraków,"InsureTech, Car Hail Damage assessment, PDR, AI, AR",No funding announced yet,2014,https://www.soft-edge.com,N/A
Softark,Netherlands,Rotterdam,"Automation, Software Engineering, Agency, Ai, Ai-Agents",No funding announced yet,2025,https://softark.nl,Active
Softaware,Bulgaria,Sofia,"Blockchain, IT, Software, Mobile Apps",No funding announced yet,2021,https://softaware.io/,Active
Softbuilder,France,Paris,"software engineers, Salesforce metadata",No funding announced yet,2019,https://soft-builder.com/,N/A
Softcare Studios,Italy,Rome,"Health Care, Information Technology, Virtual Reality",No funding announced yet,2017,https://www.softcarestudios.com/,N/A
Softdroom Ltd,UK,"London, England. United Kingdom.","Software Development Conglomerate, SAAS, Software as a Service, Softdroom",No funding announced yet,2019,www.softdroom.com,N/A
Softgen,Austria,Austria,"AI code assistant, full stack developer",No funding announced yet,2024,https://softgen.ai/,Active
Softlead,Romania,Bucharest,"Software, digital transformation, digital DNA",No funding announced yet,2019,www.softlead.ro,N/A
Softpay,Denmark,Copenhagen,"Mobile Apps, Mobile Devices, Mobile Payments",No funding announced yet,2019,https://softpay.io/,N/A
Softqbits,Spain,"Madrid, Spain","software, organizational, softqbits",N/A,2017,http://www.softqbits.technology,N/A
Softr,Germany,Berlin,"responsive, web applications, web development",No funding announced yet,2018,https://www.softr.io,N/A
Software Development Academy,Poland,Gdynia,"education, teaching, software",No funding announced yet,2015,https://sdacademy.dev,N/A
Software Job,UK,London,"Software Job, It Jobs, Software Development",No funding announced yet,2020,https://softwarejob.co.uk,N/A
Softwarehut,Poland,Bialystok,"Software Development, Solutions",N/A,2015,SoftwareHut.com,N/A
Softwarematchingio,Netherlands,Arnhem,"advice, software, consultant, online",Between €500K-€ 1 million,2023,https://www.softwarematching.io/,Active
Softwariza3,Spain,Alicante,"Cloud Computing, CRM, Enterprise Resource Planning (ERP), Enterprise Software",No funding announced yet,2020,https://softwariza3.es,N/A
Sogur,Switzerland,Zug,"Cryptocurrency, Digital Signage, Financial Services, Professional Services, Virtual Currency",Above €25 million,2017,https://www.sogur.com,N/A
Sohhytec,Switzerland,Ecublens,"solar fuel, technology, electrochemical device, fossil fuels",Between €100K-€500K,2020,https://www.sohhytec.com/,N/A
Soil Scout,Finland,Helsinki,"Wireless Sensors, Remote Monitoring, Underground Sensors, Water Saving",N/A,2013,http://www.soilscout.com/,N/A
Soilsense,Denmark,Copenhagen,"soil sensors, agriculture, agtech",Between €100K-€500K,2017,https://soilsense.io/,N/A
Soilspect,Netherlands,Noordwijk,BigData,Between €1-€100K,2019,https://soilspect.nl/,Active
Soilytix,Germany,Hamburg,Agritech,Between €5 million-€10 million,2021,https://soilytix.com/,Active
Soisy,Italy,Milan,"Financial Services, FinTech, E-Commerce",Between €1 million-€ 2.5 million,2015,https://www.soisy.it/,N/A
Sojo,Poland,Chiswick,Fashion,Between €1 million-€ 2.5 million,2020,https://home.sojo.uk,N/A
Sokari,Belgium,Belgium,"Self-monitoring diary, Graphical visualization, Mobile App",Between €100K-€500K,2024,https://www.sokaricare.com/,Active
Soke Fashion,Hungary,Nyiregyhaza,"fashion, innovation, digital fabric,",No funding announced yet,2023,http://soke.fashion,N/A
Sokjo,Spain,Barcelona,"Banking, Finance, FinTech, Mobile",No funding announced yet,2020,https://www.sokjo.com/,N/A
Sola Diagnostics,Austria,Zams,"Biotechnology, Appeal, Particularly",No funding announced yet,2020,https://www.sola-diagnostics.com/,N/A
Solaga,Germany,Berlin,"algae, biofilm,",N/A,2017,https://www.solaga.de,N/A
Solaire Box,France,Paris,"Eco-Construction, GreenTech, Eco Houses",N/A,2014,www.solairebox.fr,N/A
Solamove,UK,London,"Renewable Energy, Transportation",Between €1-€100K,2021,http://www.solamove.com/,N/A
Solar,UK,England,"AI-powered development, No-code/Low-code, Collaborative development, Rapid prototyping, Full-stack development",Between €1-€100K,2024,https://try.solar,Active
Solar Materials,Germany,Magdeburg,"Assistive Technology, Recycling, Solar, Sustainability",Between €1-€100K,2021,https://solar-materials.com/,N/A
Solar Monkey,Netherlands,Delft,"Solar Energy, Clean Tech, Green Tech, Smart Energy",N/A,2015,www.solarmonkey.nl,N/A
Solar Staff,Cyprus,Limassol,"Fintech, Freelancers, HR, Gig economy",No funding announced yet,2014,https://solar-staff.com,N/A
Solar Wifi Eco Bin,Germany,Berlin,"solar, waste management, wifi, IoT",N/A,2017,https://solaroutdoormedia.de/solarwifiecobin,N/A
Solaraide,Lithuania,Vilnius,"CleanTech, Energy",No funding announced yet,2020,https://www.solaraide.tech,N/A
Solarcreed,Netherlands,Amsterdam,"Agriculture, E-Commerce, Product Design",Between €100K-€500K,2017,https://solarcreed.com/,N/A
Solardesk,Spain,Sevilla,"energy monitoring, software, efficientcy",No funding announced yet,2020,https://solardesk.es/en/home/,N/A
Solarduck,Netherlands,Nijmegen,"renewables, energy, maritime",Between €5 million-€10 million,2019,solarduck.tech,N/A
Solarge,Netherlands,Eindhoven,"Manufacturing, Renewable, Solar",No funding announced yet,2018,https://solarge.com/,N/A
Solarhr,Denmark,Copenhagen,"Human Resources Services, Payroll, online platform",No funding announced yet,2022,https://solarhr.io/,N/A
