company name,category,based in,tags,total funding,founded,website,company status
Kiki,Spain,Madrid,"social apps, dating, flirting",N/A,2018,https://www.kikiapp.es,N/A
Kiklegal,Belgium,Brussels,"Legal Services, Class action, Action collective, Problem solver",Between €100K-€500K,2023,https://www.kiklegal.com/en/,Active
Kiko Homes,UK,London,"Proptech, Marketplace, Real Estate, Property Management",No funding announced yet,2019,https://kiko.homes/,N/A
Kilde,UK,Worswell,"Fintech, WealthTech, Broker",Between €1 million-€ 2.5 million,2019,https://www.kilde.sg/,Active
Kili Technology,France,Paris,"Data Transformation, AI, NLP",Between €5 million-€10 million,2018,kili-technology.com,N/A
Kiln,France,Paris,"Blockchain, Cryptocurrency",Between €10 million-€25 million,2018,https://www.kiln.fi,N/A
Kilo Health,Lithuania,"Vilniaus Apskritis, Vilnius","Health And Wellness, Health, Personal Health, Apps",No funding announced yet,2013,https://business.kilo.health,N/A
Kilt Protocol,Germany,Berlin,"Blockchain, Internet, Online Portals",No funding announced yet,2018,https://www.kilt.io/,N/A
Kima,UK,London,"Jewelry, Luxury Goods, Handmade, Recycled",N/A,2018,http://kimai.co/,N/A
Kimera,Portugal,Lisbon,"Shared Solutions,",N/A,2014,http://www.kimeralive.com,N/A
Kimera Technologies,Spain,Valencia,"AI, Images, Multimedia content, Invention",Between €500K-€ 1 million,2021,https://kimeratechnologies.com/,Active
Kimialys,France,Paris,"Biotechnology, Life Science, Nanotechnology",No funding announced yet,2020,https://www.kimialys.com/,N/A
Kimo,Italy,Amsterdam,"Artificial Intelligence, EdTech, Blockchain",Between €1 million-€ 2.5 million,2018,https://www.kimo.ai/,N/A
Kin,Spain,Barcelona,"Environmental Engineering, Life Science, Natural Resources",No funding announced yet,2018,https://hiwearekin.com/,N/A
Kin Alternative Economy,Czechia,Prague,"innovation, ambitious strategy of scale, patented technology.",No funding announced yet,2019,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=394061&typ=PLATNY,Closed
Kin And Carta,UK,London,"Cloud Computing, Cloud Data Services, Digital Marketing, Finance, Internet, Marketing",Between €5 million-€10 million,2018,https://www.kinandcarta.com/,N/A
Kinacu,Spain,Palma,"Sports, Athletes, Coaches",N/A,2017,https://www.kinacu.com/en/,N/A
Kind,Sweden,Malmo,"Enterprise Software, Health Care, Information Technology, mHealth",Between €2.5 million-5 million,2018,https://www.kind.app/,N/A
Kind Socks Ab,Sweden,Stockholm,"Socks, Ethical Fashion, Sustainable Fashion, Organic Cotton",N/A,2017,www.kindsockswear.com,N/A
Kind2,UK,London,"Plastic free, shampoo, haircare",N/A,2018,www.kind2.me,N/A
Kindaba,UK,Edinburgh,"Family, Social Media, Kids",N/A,2017,www.kindaba.com/,N/A
Kindaling,Germany,Berlin,"Passion, Inspiration, Entfaltung, Integrität, Zusammenhalt",N/A,2016,https://www.kindaling.de/,N/A
Kindana,UK,London,"Identity Management, Service Industry, Software",Between €1-€100K,2021,https://www.kindana.co,N/A
Kinde,UK,London,"social, network, mental health, app",N/A,2017,https://wearekinde.com,N/A
Kinder,Netherlands,Amsterdam,"Donate, fundraising, charity",Between €500K-€ 1 million,2016,https://kinder.world/,N/A
Kinderheldin,Germany,Berlin,"Consulting, Health Care",No funding announced yet,2017,https://kinderheldin.de/,N/A
Kindernay,Norway,Oslo,"CleanTech, Cycling, Electric Vehicle, Industrial Manufacturing, Transportation",Between €2.5 million-5 million,2016,https://www.kindernay.com,N/A
Kinderpedia,Romania,Bucharest,"Education, Virtual Classroom, Educational Management System,",Between €100K-€500K,2021,kinderpedia.co,N/A
Kindly,Norway,Oslo,"Artificial Intelligence, Information Services, Information Technology, Machine Learning, Natural Language Processing",No funding announced yet,2016,https://www.kindly.ai/,N/A
Kindora,Ireland,Dublin,"Children, Retail, Technology",No funding announced yet,2020,https://kindora.shop/,N/A
Kindred,UK,London,"Advertising, E-Commerce ,Marketing",Between €2.5 million-5 million,2019,https://www.kindred.co/,N/A
Kinds Of Tea,UK,Littlehoughton,"Directory, platform",No funding announced yet,2024,https://kindsoftea.com,Active
Kineis,France,Occitanie,"SpaceTech, Connectivity, IoT, Satellites, Kinéis, Occitanie",N/A,2018,https://www.kineis.com,N/A
Kineo Finance,Switzerland,Basel,"Electronics, Financial Services, FinTech, Medical",No funding announced yet,2016,https://kineofinance.com,N/A
Kinetikos,Portugal,Cimbra,"Digital Health, Movement Disorders, Healthcare, Machine learning",N/A,2016,www.kinetikos.io,N/A
Kinetix,France,Paris,"3D Technology, Animation, Artificial Intelligence, Software",Between €10 million-€25 million,2020,https://www.kinetix.tech,N/A
Kingdomcore Technologies,UK,London,"kctechnologies, KingdomCore Technologies, KingdomCore Technologies LTD",Between €1-€100K,2024,https://www.kctechnologies.uk,Active
Kings International,Lithuania,Vilnius,"Education, Academic, School",Between €100K-€500K,2021,https://kingsolympiad.com/,Active
Kings Of Games,Slovenia,Ljubljana,"Gaming, Mobile, Online Games",No funding announced yet,2022,https://kingsfgames.com/en/,N/A
Kingsbox,Slovenia,Sezana,"Fitness, Health Care, Sporting Goods",No funding announced yet,2015,https://kingsbox.com/,N/A
Kingtechiz,UK,Cardiff,software review sites,No funding announced yet,2020,https://kingtechiz.com/,N/A
Kinis,Cyprus,Nicosia,"Advertising, E-Commerce, Film, Film Production",No funding announced yet,2020,https://ablfilms.com/kinisi,N/A
Kinisi,Cyprus,Nicosia,"Advertising, E-Commerce, Film, Film Production",No funding announced yet,2020,https://ablfilms.com/kinisi,N/A
Kinly,Netherlands,Amsterdam,"Telecommunications, Video Conferencing, Audio-Visual Integration",No funding announced yet,2017,https://www.kinly.com/,N/A
Kinsect,Italy,Reggio Emilia,Farming,Between €500K-€ 1 million,2021,https://www.kinsect.eu/,Active
Kintai,Spain,Barcelona,"Commercial Lending, FinTech, Lending",No funding announced yet,2021,https://kintai.com/,N/A
Kintsugi Therapeutics,Spain,Barcelona,"Biotechnology, Medical, Pharmaceutical",Between €500K-€ 1 million,2019,http://kintsugitx.com/es/,N/A
Kinvent,France,Montpellier,"Biotechnology, Electronic Health Record (EHR), Personal Health, Rehabilitation",No funding announced yet,2018,http://www.k-invent.com/,N/A
Kinzen,Ireland,Dublin,"Apps, Digital Media, News",Between €1 million-€ 2.5 million,2017,https://kinzen.com/,N/A
Kipli,France,Paris,"E-Commerce, Fashion, Mattresses, Natural latex",Between €1 million-€ 2.5 million,2018,https://kipli.com/,N/A
Kiploc,Spain,Sabadell,"B2B, Business Development, SaaS",No funding announced yet,2020,www.kiploc.com,N/A
Kipwise,Estonia,Tallinn,"Search Engine, Knowledge Management, Productivity, Kipwise, Tallinn",N/A,2018,www.kipwise.com,N/A
Kira Core,Czechia,Prague,"Blockchain, Cryptocurrency, Financial Services, FinTech, Software",Between €1 million-€ 2.5 million,2019,https://kiracore.com/,N/A
Kiri Technologies,UK,Covent Garden,"Electric Vehicle, GreenTech, Internet, Sustainability",No funding announced yet,2020,https://kiritechnologies.com/,N/A
Kiricore Sustainable Materials,Poland,Zborowskie,"Wood Product Manufacturing, Sustainability",Between €1-€100K,2020,https://drewnopaulownia.pl/en/,Active
Kirisiko Global,Spain,Barcelona,"Commercial Real Estate, Real Estate, Real Estate Investment",No funding announced yet,2020,http://www.kirisiko.com/,N/A
Kiron Open Higher Education,Germany,Berlin,"EdTech, Refugees, NGO, Higher Education",N/A,2015,www.kiron.ngo,N/A
Kirontech,UK,"Cambridge, Cambridgeshire","Artificial Intelligence, Health Care, Information Technology, Machine Learning, Technical Support",Between €2.5 million-5 million,2015,http://www.kirontech.com/,N/A
Kisanhub,UK,Cambridge,"Data analytics, Farm management system, Decision support system, Agri-Tech",Between €5 million-€10 million,2013,https://www.kisanhub.com/,N/A
Kiss My Score,Portugal,Lisboa,"Apps, Gaming, Internet of Things",Between €100K-€500K,2018,https://www.kissmyscore.com/,N/A
Kiss Of Wine,Germany,Berlin,"Food, Beverage, Wine,Spirits",No funding announced yet,2020,https://www.kissofwine.co.uk,N/A
Kisspatent,Netherlands,Eindhoven,"Patents, Trademark, Intellectual Property , Innovation",N/A,2014,https://kisspatent.com,N/A
Kissplatform,Netherlands,Eindhoven,Enterprise Software,No funding announced yet,2019,www.kissplatform.com,N/A
Kita,UK,"London, England","CleanTech, GreenTech, Insurance, InsurTech",Between €1-€100K,2021,https://www.kita.earth,N/A
Kitch,Portugal,Lisbon,"Food, delivery , enjoyment",N/A,2019,www.eatkitch.com,N/A
Kitche,UK,London,"GoodTech, Sustainable, Recipe app, Kitche, London",N/A,2018,www.kitche.co,N/A
Kitchen Stories,Germany,Berlin,"FoodTech, Cooking app, Photo & Video Production, Recipes",N/A,2013,www.kitchenstories.com,N/A
Kitchenadvisor,Germany,Berlin,"Cooking, E-Commerce, Food and Beverage, Furniture",Between €500K-€ 1 million,2017,https://www.kitchenadvisor.de,N/A
Kitchenful,Germany,Berlin,"Delivery, Food and Beverage, Grocery",Between €1 million-€ 2.5 million,2019,https://www.kitchenful.com/,N/A
Kitchenizer,Belgium,Brussels,"Recipes,Shopping list,Cooking",No funding announced yet,2022,https://cookbook-ec797.web.app/home,N/A
Kitchtech,Ireland,Dublin,"Business Development, Information Technology, Software",No funding announced yet,2018,http://www.kitchtech.ie,N/A
Kite Medical,Ireland,Galway,"Health Care, Medical, Medical Device",Between €1 million-€ 2.5 million,2016,http://kitemedical.ie/,N/A
Kitekraft,Germany,Munich,"Electrical Distribution, Energy, Renewable Energy, Wind Energy",Between €100K-€500K,2019,https://www.kitekraft.de/,N/A
Kiteline Health,UK,"London, England","Health Care, Wellness, Fitness Services",Between €100K-€500K,2020,https://www.kitelinehealth.com,N/A
Kitemaker,Norway,Oslo,"Internet, SaaS, Software",Between €100K-€500K,2019,https://www.kitemaker.co/,N/A
Kitepower,Netherlands,Delft,"Airborne Wind Energy, Aerospace, Electrical Engineering, and Software Development",N/A,2015,https://kitepower.nl/,N/A
Kites,Spain,Madrid,"Advertising Services, Digital Communication, Origin, QR",No funding announced yet,2021,https://makekites.io/,Active
Kitex,Denmark,Copenhagen,"Energy, wind energy, turbine",No funding announced yet,2016,kitex.tech/,N/A
Kitman Labs,Ireland,Dublin,"Analytics, Artificial Intelligence, Fitness, Information Services, Sports",Above €25 million,2012,https://www.kitmanlabs.com/,N/A
Kitmapper,UK,London,"rental, creative, connect",Between €500K-€ 1 million,2016,https://kitmapper.com/,Active
Kitmytrip,UK,Reading,"Tourism, Travel",Between €100K-€500K,2016,https://www.kitmytrip.com/,N/A
Kitndo,France,Aix-en-Provence,"cultural diversity, communities, market place, international living",Between €1-€100K,2017,https://kitndo.com,N/A
Kitocoat,Sweden,Stockholm,"Biodegradable Coatings, Edible Food Protection, Antimicrobial Food Coating",Between €100K-€500K,2021,https://kitocoat.com/,Active
Kitops,UK,England,"AI, Software, Machine Learning",No funding announced yet,2024,https://kitops.ml,Active
Kitro,Switzerland,Renens,"Hardware, Information Technology, Software",Between €5 million-€10 million,2017,https://www.kitro.ch/,N/A
Kitt,UK,London,"Property Management, Real Estate, Virtual Reality",Between €5 million-€10 million,2018,https://kittoffices.com/,N/A
Kittl,Germany,Berlin,"Graphic Design, Software Development, Software Engineering",Between €1 million-€ 2.5 million,2020,https://www.kittl.com,N/A
Kittysplit,Germany,Berlin,"Sharing Expenses, Calculator, FinTech",N/A,2012,http://www.kittysplit.com/,N/A
Kiute,France,Paris,"Beauty, Mobile Apps, Software, Wellness",Between €5 million-€10 million,2014,https://www.kiute.fr,N/A
Kiutra,Germany,Munich,"scientists, quantum, cooling solutions",N/A,2018,https://kiutra.com/,N/A
Kive,Sweden,Stockholm,"Artificial Intelligence, Machine Learning",Between €1 million-€ 2.5 million,2018,https://kive.ai/,N/A
Kivi,Finland,Helsinki,"Retail Industry, Data",No funding announced yet,2021,https://kivi.io/password,N/A
Kivu Technologies,Austria,Vienna,"Information Services, Information Technology, Software",Between €1 million-€ 2.5 million,2016,https://kivu.tech,N/A
Kivuhub,France,"Paris, Rome, London","platform, skills, it, entrepreneurship",N/A,2017,https://kivuhub.net,N/A
Kiwaw,Switzerland,Geneva,"Information Technology, Internet, Software, Venture Capital",No funding announced yet,2021,https://kiwaw.com,N/A
Kiwi,Switzerland,Lausanne,"FinTech, Payment Solutions, Microfinance",N/A,2014,www.kiwi-bop.com,N/A
Kiwi Last Mile,Spain,Barcelona,Logistics,Between €500K-€ 1 million,2017,http://kiwilastmile.com/,N/A
Kiwi Mobility,Netherlands,Amsterdam,"Electric Vehicle, Mobile Apps, Public Transportation",Between €100K-€500K,2019,https://ride.kiwi/,N/A
Kiwi Tcms,Bulgaria,Sofia,"testing, quality assurance, test management",No funding announced yet,2017,https://kiwitcms.org,N/A
Kiwihr,Germany,Munich,"HR, HR Tech, Cloud",N/A,2018,https://kiwihr.com/en,N/A
Kiyanpay,UK,London,"Fintech, Cross-Border payment, payments",Between €2.5 million-5 million,2020,www.kiyanpay.com,N/A
Kizwork,France,Nice,"environmental, block chain, digital",Between €100K-€500K,2020,https://www.kizwork.com/,N/A
Klaaryo,Italy,Berlin,"Interview Scheduling Automation, AI Recruitment Agent, Automated Candidate Screening",Between €500K-€ 1 million,2024,https://klaaryo.com/,Active
Klaeny,Germany,Berlin,"laundry detergents, biodegradable, detergent tabs",No funding announced yet,2020,https://klaeny.de/,N/A
Klaep,Germany,Freiburg,"Apps, Music",Between €1-€100K,2021,https://www.klaep.com,N/A
Klamo,Germany,Frankfurt,"Data Mining, E-Commerce, Fashion",Between €1-€100K,2021,https://klamo.eu,N/A
Klang,Germany,Berlin,"Games Development Studio, Mobile Games, Gamification",N/A,2013,https://www.klang-games.com/,N/A
Klangchat,Germany,Berlin,"voice, messages, digital communication",N/A,2018,https://klangchat.com/,N/A
Klapty,Switzerland,Bulle,"SaaS, Software, Technology",Between €1 million-€ 2.5 million,2020,https://www.klapty.com,N/A
Klarity,Czechia,Prague,"Contracts Review, AI, Compliance",N/A,2017,www.klaritylaw.com,N/A
Klarna,Sweden,Stockholm,"ecommerce, financial services, online retail",Above €25 million,2005,www.klarna.com,N/A
Klarsicht,Austria,Vienna,"E-Commerce, Glasses, SEO, Marketing",Between €500K-€ 1 million,2021,https://www.klarsicht.online/,Active
Klarsolar,Germany,Leimen,"Clean Energy, Energy, Industrial Engineering, Clean Energy, Solar,",No funding announced yet,2018,https://klarsolar.de/,N/A
Klart Ai,France,Paris,"AI, SaaS",Above €25 million,2023,https://www.klartai.com/,Active
Klarx,Germany,München,"construtech, rental,  equipment",N/A,2015,www.klarx.de/,N/A
Klarys,Switzerland,Lausanne,"Food and Beverage, Food Processing ,Marketplace, Seafood",Between €5 million-€10 million,2016,www.klarys.io,Active
Klas Therapeutics,UK,Belfast,"Health, Human Services, Therapy",Between €500K-€ 1 million,2021,https://klastherapeutics.com/,Active
Klasor,Romania,Bucharest,"B2C, big data, scalable, machine learning, gps, targeting",N/A,2019,https://klasor.app/,N/A
Klassroom,France,Paris,"Education, Mobile Apps, Web Apps",Between €2.5 million-5 million,2016,http://klassroom.co,N/A
Klaus,Estonia,Tallinn,"customer service, feedback",N/A,2018,https://klausapp.com/,N/A
Klausur Geschenkt,Germany,Schwentinental,"E-Commerce, Nutrion, Brain Boost",Between €1-€100K,2023,www.klausur-geschenkt.de,Active
Klaveness Digital,Norway,Oslo,"Logistics, Supply Chain Management, Maritime digitalisation, Shipping digitalisation",No funding announced yet,2017,https://www.klavenessdigital.com/,N/A
Klaxoon,France,Rennes,"EventTech, Engagement Platform, Social Network",N/A,2014,www.klaxoon.com,N/A
Klazz,Switzerland,Zurich,"Language, Travel, Algorithm",N/A,2017,https://www.klazz.com,N/A
Kleap,Switzerland,Bussigny,"Internet, SaaS, Software, Web Design",No funding announced yet,2020,https://kleap.co/,N/A
Klearcom,Ireland,Waterford,"Analytics, Quality Assurance, Service Industry, Usability Testing",Between €500K-€ 1 million,2018,http://www.klearcom.com,N/A
Kleesto,Greece,Athens,"Analytics, Bookingengine, Operations Management, Activities, Travel Industry, Travel Agency, Back Office, AI, Platform, Web App, Fleet Management",No funding announced yet,2016,https://www.kleesto.com,N/A
Kleiderly,Germany,Berlin,"Manufacturing, Recycling, Sustainability, Textiles",No funding announced yet,2019,https://www.kleiderly.com,N/A
Klekt,Germany,Berlin,"vinyl, curation, subscription",N/A,2015,http://klekt.eu,N/A
Kleos Space,Luxembourg,Luxembourg,"Maritime, SpaceTech, Satellites, Security Data",N/A,2017,www.kleos.space,N/A
Kleros,France,Paris,"Blockchain, Ethereum, Internet, Software",No funding announced yet,2017,https://kleros.io/,N/A
Kleta,Spain,Barcelona,"Rental, Subscription Service, Transportation",Between €100K-€500K,2020,https://www.kleta.com/en/,N/A
Kleverplay,Spain,Madrid,Health,Between €1 million-€ 2.5 million,2021,https://www.kleverplay.com/,Active
Klevio,UK,London,"Internet of Things, Mobile Apps, Smart Home",No funding announced yet,2016,http://klevio.com/,N/A
Kliin,Finland,Vantaa,"Drycleaning, Cleaning Services, Services, B2C",Between €100K-€500K,2022,https://www.kliin.fi/,Active
Klikkie,Netherlands,Amsterdam,"Apps, B2C, Media and Entertainment",Between €1 million-€ 2.5 million,2017,https://www.klikkie.co.uk/,N/A
Kliks Digital,Spain,Madrid,"seo, lead generation, growth marketing, linkedin content",No funding announced yet,2023,https://kliksdigital.com/,Active
Klim,Germany,Berlin,"Agriculture, Impact Investing, Sustainability",No funding announced yet,2020,https://www.klim.eco/de?utm_source=linkedin&utm_medium=organic_social&utm_campaign=lnk_de_de_awa_linkedin_bio_&utm_term=&utm_content=,Active
Klima,Germany,Berlin,"B2B, Environmental Engineering ,Renewable Energy, Software",Between €2.5 million-5 million,2019,getklima.com/,N/A
Klimate,Denmark,Copenhagen,"Marketing Automation,Authentication Services,,Cloud Computing Services,",Between €1 million-€ 2.5 million,2020,https://klimate.co/,Active
Klimato,Sweden,Stockholm,"Food Processing, Restaurants",Between €500K-€ 1 million,2017,https://www.klimato.se/,N/A
Klink Finance,UK,London,"finance, blockchain , technology",Between €100K-€500K,2022,https://klinkfinance.com/,N/A
Klink Super App For Home Buyers,UK,London,"fintech, uk, homeownership, mortgages",No funding announced yet,2024,https://www.klink-app.com,Active
Klint Marketing,Denmark,Copenhagen,"Content Generation, SEO, SEM, Lead Generation, Outbound marketing, Inbound marketing",N/A,2019,https://KlintMarketing.com,N/A
Klippa,Netherlands,Groningen,"Finance, Financial Services, Personal Finance",Between €1 million-€ 2.5 million,2015,"Finance, Financial Services, Personal Finance",N/A
Klippacast,Netherlands,Groningen,"Analytics, Consumer, E-Commerce",No funding announced yet,2017,https://www.klippacast.com/,N/A
Klippy,Croatia,Zagreb,"Apps, Digital Media, Video",Between €1-€100K,2020,http://www.klippy.co/,N/A
Klipworks,Denmark,Copenhagen,"video, corporate, AI",N/A,2015,https://klipworks.com,N/A
Kliv,Sweden,Borås,"ai, vibecoding,builder",No funding announced yet,2025,https://kliv.dev,Active
Klix,Latvia,Riga,"Digital Wallet, FinTech, Payment Solution",No funding announced yet,2019,klix.app,N/A
Klokbox,Ireland,Killarney,"Internet Publishing, Software, Platform",Between €100K-€500K,2021,https://klokbox.com/,N/A
Kloosive,Lithuania,Vilnius,"web, accessibility, b2b, saas",Between €1-€100K,2023,https://kloosive.com/,Active
Kloov,Spain,Barcelona,"Digital Entertainment, Music, Software",Between €100K-€500K,2021,https://kloov.com,N/A
Kloze,Belgium,Antwerp,SaaS,Above €25 million,2023,https://kloze.be/,Active
Klu,Finland,Helsingfors,"Professional Services,Information Technology & Services,Computer Programming",Between €500K-€ 1 million,2023,https://klu.so/,Active
Klu Technologies,Finland,Espoo,"AI, Technology, Information, Internet",Between €100K-€500K,2022,https://klu.so/,Active
Klubaro,Belgium,Charleroi,"SaaS, Sports Management, Club Administration",No funding announced yet,2020,https://klubaro.com,Active
Klugit Energy,Portugal,Aveiro,"hot water, smart home, iot, energy storage, demand-response",N/A,2018,klugitenergy.com,N/A
Kluster,UK,London,"Analytics, Artificial Intelligence, Machine Learning, Predictive Analytics, SaaS, Sales, Sales Automation",Between €1 million-€ 2.5 million,2016,http://www.kluster.com,N/A
Klutch Agency,Denmark,Copenhagen,"communication agency, advertising, social media management, creative campaigns",No funding announced yet,2020,www.klutch.dk,N/A
Klykd,Spain,Calafell,"photography, real estate, ai, declutter",No funding announced yet,2025,https://www.klykd.com,Active
Km Zero,Spain,Valencia,"Business Development, Food and Beverage, Management Consulting",No funding announced yet,2018,https://www.kmzerohub.com/,N/A
Kmb Lab,Italy,Trento,"Information Services, Information Technology, System",Between €1-€100K,2015,http://www.kissmy.bike/,N/A
Kmtx,France,Paris,"Advertising, Internet, Marketing, Adtech",Between €2.5 million-5 million,2017,http://www.kmtx.com/,N/A
Knave Sas,France,Paris,"Automotive, Electric Vehicle, Mobile Apps, Transportation",No funding announced yet,2019,www.knave.eu/,N/A
Knexus,UK,London,"Analytics, Artificial Intelligence, Machine Learning, Marketing Automation, Personalization, SaaS, Software",No funding announced yet,2017,https://www.knexusgroup.com/,N/A
Knight Venture Capital,Netherlands,Amsterdam,"B2B, Enterprise Software, Freemium, SaaS, Software",No funding announced yet,2019,www.knight.vc/,N/A
Kniteco,Finland,Ylämylly,"E-commerce, Agricultural Production, Cleaning Services, B2C",Between €100K-€500K,2021,https://www.nokkoste.com/,Active
Knitronix,Italy,Firenze,"sensors, flexible, smart fabrics, industry",No funding announced yet,2016,www.knitronix.com,N/A
Knitronix Srl,Italy,Firenze,"sensors, flexible, smart fabrics, industry",No funding announced yet,2016,www.knitronix.com,N/A
Knl Networks,Finland,Oulu,"Maritime Digitalisation, Smart Sailing, Telecom, IoT, Connectivity",N/A,2011,www.knlnetworks.com,N/A
Knnectme,Bulgaria,Razlog,"Contact Management, Information Technology, Private Social Networking",No funding announced yet,2020,knnect.me,N/A
Knock Technology,UK,London,"chat tool, designed , workforce innovation",Between €100K-€500K,2022,https://knock-me.uk,N/A
Knocksy Sp Z Oo,Poland,Warsaw,"Real estate, proptech, property management",Between €1-€100K,2023,https://implicaglobalcorp.com/,Active
Knodd,Sweden,Goeteborg,"Apps, Medical Practices, Medical Service",Between €5 million-€10 million,2018,https://www.knodd.se/,N/A
Knoddo,Greece,Athens,"social, network, creators, opportunities",No funding announced yet,2020,www.knoddo.com,N/A
Knogin,Ireland,Dublin,"Analytics, Big Data, Cyber Security",Between €2.5 million-5 million,2018,knogin.com,N/A
Knok,Portugal,Leça da Palmeira,"Digital Health, eHealth, Medical Assistance, Doctors Appointments",N/A,2015,www.knokcare.com,N/A
Knok Healthcare,Portugal,Leça da Palmeira,"Digital Health, eHealth, Medical Assistance, Doctors Appointments",N/A,2015,www.knokcare.com,N/A
Knokcare,Portugal,Porto,"health tech, health care, medical",Between €100K-€500K,2015,https://www.knokcare.com/,N/A
Knotique,Germany,"Hamburg, Germany","modern, e-commerce, rugs",N/A,2020,https://www.knotique.de/en,N/A
Knowdle Ai,Spain,Madrid,"Artificial Intelligence, Big Data, Machine Learning",Between €100K-€500K,2014,https://www.knowdle.ai/,N/A
Knowee,Spain,Madrid,"QR code, Business Cards, Contact Details",N/A,2013,https://www.know.ee/?locale=en,N/A
Knowkit,Germany,Tübingen,"Information Technology, Small and Medium Businesses, Video Conferencing",No funding announced yet,2020,https://knowkit.de,N/A
Knowledge Officer,UK,London,"Knowledge, Context, Content, Dynamic, Learning",N/A,2017,https://knowledgeofficer.com,N/A
Knownorigin,UK,Manchester,"Software, Marketplace, Digital Art",Between €2.5 million-5 million,2020,https://knownorigin.io/,N/A
Knowork,Netherlands,Amsterdam,"Platform, Network, Social",N/A,2017,https://knowork.co/,N/A
Knowunity,Germany,Sindelfingen,"E-Learning, Education, EdTech",Between €1 million-€ 2.5 million,2020,https://knowunity.de/,N/A
Knowup,Estonia,Harju,"Customer Education, LMS",No funding announced yet,2025,https://knowup.io/,Active
