company name,category,based in,tags,total funding,founded,website,company status
Cettefamilie,France,Argentan,"seniors, retirement, connection",N/A,2015,https://www.cettefamille.com/,N/A
Cexland,Estonia,Tallinn,"Blockchain, Cryptocurrency, Financial Services",No funding announced yet,2022,https://cexland.com/,N/A
Cezigue,France,Toulouse,Transportation,Above €25 million,2021,https://cezigue.io/,Active
Cf Banque,UK,London,"financial institutions, advisory services, insurance companies,",No funding announced yet,2022,https://cfbanque.co.uk/,N/A
Cf Intercity,Spain,Sant Joan Les Fonts,"Sporting Goods, Sports",Between €1 million-€ 2.5 million,2017,https://www.cfintercity.com/,N/A
Cfgo,Germany,Cologne,"Finance, Financial Services, Digitization, Data Analytics",No funding announced yet,2018,https://cfgo.de,N/A
Cflow Technologies Ltd,UK,London,"assistant, productivity, genAI",No funding announced yet,2023,https://www.cflow.tech,Active
Cghero,UK,Manchester,"3D Printing, Graphic Design, Industrial Design, Video Games, Virtual Reality",Between €1 million-€ 2.5 million,2016,https://cghero.com,N/A
Cgi Hive,UK,London,"Freelance, Marketplace, Outsourcing, SaaS, Collaborative Consumption",No funding announced yet,2020,www.cgihive.com,N/A
Cgift Ag,Germany,"Hamburg, Germany","Cryptocurrencies, Publically Listed",No funding announced yet,2019,cgift.io,N/A
Cgtrader,Lithuania,Vilnius,"3D Pringting, VR, AR, 3D Models library",N/A,2012,www.cgtrader.com,N/A
Ch Media Holding,Switzerland,Aarau,"Digital Media, Journalism, Media and Entertainment, News, Publishing",No funding announced yet,2018,https://chmedia.ch/,N/A
Ch3 Agency,UK,london,"events, international, promotion",Between €1-€100K,2023,https://ch3.agency/,N/A
Chaga Health,Estonia,Estonia,"Food Supplements, Healthcare, FoodTech",N/A,2013,https://chagahealth.eu,N/A
Chai,UK,"London, UK","Mining, AI, Artificial Intelligence, ChAI, Data, London",N/A,2017,https://www.chai-uk.com,N/A
Chain Leads,Cyprus,Limasol,"crypto marketing, Web3 marketing, crypto PR, growth, branding",No funding announced yet,2024,https://chainleads.io/,Active
Chaincargo,Netherlands,Eindhoven,"transport, logistics, couriers, shipments",No funding announced yet,2019,https://www.chaincargo.eu/,N/A
Chainergy,UK,Oxford,"data centres, SUSTAINABILITY, investment",No funding announced yet,2022,https://www.chainergy.io/,N/A
Chainflip,Germany,Berlin,"Blockchain, Software, Information Technology",Between €5 million-€10 million,2020,https://chainflip.io/,N/A
Chaingo Tech,Spain,Madrid,"Blockchain, Information Technology, Logistics, Software, Supply Chain Management",Between €500K-€ 1 million,2017,https://www.chaingotech.com/,N/A
Chainifydb,Germany,Saarbrücken,"Blockchain, Database, Network Security",No funding announced yet,2020,https://www.chainifydb.com/,N/A
Chainside,Italy,Rome,"Compute Software, Bitcoin, Blockchain, Ethereum",No funding announced yet,2016,https://www.chainside.net/,N/A
Chainstep,Germany,Hamburg,"Blockchain, Internet of Things, Logistics",No funding announced yet,2017,https://www.chainstep.com,N/A
Chainsulting,Germany,Flensburg,"Bitcoin, Blockchain, Consulting, Cryptocurrency, Ethereum, Financial Services, Information Technology, Internet, Software",No funding announced yet,2017,https://chainsulting.com,N/A
Chaintrust,France,Paris,"Accounting, Artificial Intelligence, Information Technology",Between €2.5 million-5 million,2018,https://www.chaintrust.io/,N/A
Chainvine,UK,London,"Asset Management, Blockchain, Compliance, Cyber Security, Database, Enterprise Software, Intelligent Systems, Internet of Things, Software, Supply Chain Management",Between €2.5 million-5 million,2015,https://www.chainvine.com,N/A
Chaipredict,UK,"London, England","Artificial Intelligence, Information Technology, Machine Learning",Between €1 million-€ 2.5 million,2020,https://chaipredict.com/,N/A
Challau,UK,"London, England","Meeting Software, Software, Virtual Reality",Between €1-€100K,2020,https://www.challau.com,N/A
Challenger Project,Poland,Warsaw,"Artificial Intelligence, eSports, Gaming, Information Technology",Between €500K-€ 1 million,2021,https://challengerproject.gg,N/A
Challengermode,Sweden,Stockholm,"eports, gamers, platform",N/A,2014,www.challengermode.com,N/A
Challengerocket,Poland,"Wroclaw, Dolnoslaskie","Artificial Intelligence, Crowdsourcing, Human Resources, Predictive Analytics",Between €1 million-€ 2.5 million,2016,http://www.challengeRocket.com,N/A
Chamelaion,Germany,Frankfurt,"AI Video Translation, Audio/Video Translation,Dubbing Studio, Dubbing Services",Between €100K-€500K,2024,https://www.chamelaion.com,Active
Champ Cloud,Ireland,Select a city...,Powerful tools to help you manage donors,No funding announced yet,2024,https://champcloud.com,N/A
Champ For Fundraisers,UK,"Sligo, Ireland",Powerful tools to help you manage donors,No funding announced yet,2023,https://champcloud.com/,Active
Champ Member Manager,UK,"Sligo, Ireland","Comprehensive, easy-to-use software…",No funding announced yet,2023,https://champcloud.com/,Active
Champ Prize Draw,UK,Ireland,subscription-based lottery or prize draw,No funding announced yet,2023,https://champcloud.com/,Active
Champ Service User Manager,UK,"Sligo, Ireland",Centralised Service User data for actionable insights,No funding announced yet,2023,https://champcloud.com/,Active
Champ Virtual Campaigns,UK,Ireland,"GENERATE REVENUE, ACQUIRE DONORS",No funding announced yet,2023,https://champcloud.com/,Active
Champagne Epc,France,Paris,"Brand Marketing, Food and Beverage, Wine And Spirits",Between €1 million-€ 2.5 million,2018,https://www.epc-champagne.com/,N/A
Champion Games,Spain,"Barcelona, Catalonia",Digital Entertainment,Between €1 million-€ 2.5 million,2015,https://www.championgames.com/,N/A
Champion Health,UK,Sheffield,"Mental, Health, Training",Between €1-€100K,2020,https://championhealth.co.uk,N/A
Champions Mind,Ireland,Dublin,"Health Care, Sports, Training",Between €1-€100K,2019,https://www.championsmind.app/,N/A
Change Donations,Ireland,Dublin,"FinTech, Internet, Non Profit",Between €500K-€ 1 million,2018,https://changedonations.com/,N/A
Change Invest,Netherlands,Amsterdam,"Banking, Blockchain, Finance, Financial Services",Between €10 million-€25 million,2016,https://changeinvest.com/,N/A
Changeblock,UK,"London, England","Blockchain, Cryptocurrency, Finance",No funding announced yet,2021,https://www.changeblock.com/,N/A
Changehero,Estonia,Tallinn,Cryptocurrency Exchange,No funding announced yet,2018,https://changehero.io/,N/A
Changelly,UK,St Julian's,"cryptocurrency, exchange, invest",N/A,2015,https://changelly.com/,N/A
Changemastr,Estonia,Tallinn,"Commercial, Consulting, Digital Marketing",No funding announced yet,2020,https://www.changemastr.com/,N/A
Changerz,Sweden,Stockholm,"edtech,app,critical thinking",No funding announced yet,2022,https://changerz.education/,N/A
Changex,Bulgaria,Sofia,"Crypto, DeFi and Banking, interoperable ecosystem",No funding announced yet,2022,https://changex.io,N/A
Changing Health,UK,Newcastle Upon Tyne,"Apps, Education, Health Care",Between €2.5 million-5 million,2016,https://www.changinghealth.com,N/A
Changingday,UK,Glasgow,"Digital Entertainment, Software, Video Games, Virtual Reality",Between €500K-€ 1 million,2020,https://www.changingday.com/,N/A
Channable,Netherlands,Utrecht,"product, data, platform",N/A,2014,www.channable.com,N/A
Channel Fight,UK,London,Sports,Between €100K-€500K,2016,https://www.channelfight.com/,N/A
Channelchange,UK,London,"Organizational Change, Inclusive Innovation, Social Impact Consulting",Between €100K-€500K,2025,https://channelchange.net/,Active
Channelengine,Netherlands,Leiden,"Advertising, E-Commerce, Information Technology, Internet, Marketplace, Retail Technology, SaaS, Software",Between €5 million-€10 million,2015,http://www.channelengine.com/,N/A
Channelyze,UK,London,"Software, Partnerships, Enterprise solution",No funding announced yet,2021,http://www.channelyze.io,N/A
Channext,Netherlands,Rotterdam,"Information Technology, SaaS, Software",Between €100K-€500K,2018,https://channext.com/,N/A
Chaos,Finland,Helsinki,"citizen engagement, urban co-planning, smart cities, AI, big data, VR, urban planning, and cloud technologies",N/A,2016,http://www.chaosarchitects.com/,N/A
Chaosboost,UK,London,"gaming, e-sports, in-game",No funding announced yet,2022,https://chaosboost.com/,Active
Chap Sdk,Italy,Bolzano,"SDK, advertising",No funding announced yet,2018,www.chap-sdk.com,N/A
Chappy,UK,London,"gay, platform, relationship",N/A,2016,https://chappyapp.com/,N/A
