company name,category,based in,tags,total funding,founded,website,company status
Dotfile,France,Paris,"Software, Document collection",No funding announced yet,2021,https://www.dotfile.com,N/A
Dotlumen,Romania,Cluj-napoca,"Health Care, Medical, Product Research, Software",Between €10 million-€25 million,2020,https://www.dotlumen.com/,N/A
Dotmoovs,Estonia,Tallinn,"Apps, Crypto, Sports",No funding announced yet,2023,https://dotmoovs.com/,N/A
Dotoracle,Spain,Tortola,"Financial Services, Blockchain, Crypto, IT",No funding announced yet,2021,https://dotoracle.network,Active
Dotphoton,Switzerland,Zug,"quantum, imagery, compression, biotech, space",N/A,2018,Dotphoton.com,N/A
Dotravel,Spain,Barcelona,"Travel, Global, Plan",N/A,2017,http://dotravel.com,N/A
Dots Mesh,Bulgaria,Sofia,"Web Hosting, Social Platform, Web",No funding announced yet,2020,https://about.dotsmesh.com/,N/A
Dott,Netherlands,Amsterdam,"e-scooters, bikes, mobility",N/A,2018,https://ridedott.com,N/A
Dotting,Italy,Itala,"production service, Research ,",No funding announced yet,2022,https://www.dotting.cloud/,N/A
Dottypost,UK,London,"social media , AI Linkedln tool , AI Linkedln post generator",No funding announced yet,2023,https://www.dottypost.com/,Active
Douleutaras,Greece,Athens,"Internet, Professional Networking",No funding announced yet,2015,https://www.douleutaras.gr,N/A
Dovetail,Norway,Oslo,"Asset Management, Business Development, Venture Capital",No funding announced yet,2021,https://dovetail.no/,N/A
Dovu,UK,Bristol,"Blockchain, Cryptocurrency, Smart Cities, Transportation",Between €5 million-€10 million,2016,https://dovu.earth,N/A
Doxel Petcare,Spain,Madrid,"Manufacturing, Food Production, Healthcare, Petcare",Between €1-€100K,2020,https://www.doxel.co,N/A
Doxify,Bulgaria,Sofia,"API Management, API Documentation, SaaS",No funding announced yet,2024,https://doxify.ai/,Active
Doxychain,Poland,Warsaw,"Digitalization, Documentation, Blockchain",Between €100K-€500K,2019,https://doxychain.com/,N/A
Doyouno,France,Joigny,"Mobile Apps, errands, emergency repair, anti-scam",Between €1 million-€ 2.5 million,2017,doyouno.com,N/A
Doypp,Germany,"Munich, Germany","content, app, easy",N/A,2015,https://doypp.com,N/A
Dozens,UK,London,banking,Between €2.5 million-5 million,2018,https://www.dozens.com/,N/A
Dp Group,UK,London,"Blockchain, Consulting, Information Technology",No funding announced yet,2020,https://www.d-p.group/,N/A
Dp Vision,Poland,Poznań,"Startup, brand positioning, AI, branding",No funding announced yet,2021,https://www.dpvision.agency/,Active
Dpe,France,Paris,"Consultancy, Real Estate, Diagnostics",No funding announced yet,2017,www.dpe-idf.com,N/A
Dphi,Belgium,Leuven,"Education, Community, Data Science, Machine Learning, Open-Source",No funding announced yet,2020,https://dphi.tech/,N/A
Dpl,UK,London,"Marketing, AI, Machine Learning, SaaS, DPL, London",N/A,2018,https://www.dpl.ai,N/A
Dplustech,UK,London,"IT solutions, app",Between €1-€100K,2018,https://www.dplustech.com/,N/A
Dporganizer,Sweden,Stockholm,"data, map, visualize, report",No funding announced yet,2015,https://www.dporganizer.com/,N/A
Dr Milou,France,Paris,"Veterinary Services, Consultancy, Technology",Between €100K-€500K,2018,drmilou.fr/,N/A
Dr Pino,UK,London,"Telehealth Visits, Spay & Neuter, Diagnostic Tests",No funding announced yet,2022,http://www.drpino.co,N/A
Dr Tech,Italy,Minerbe,"Manufacturing, Small and Medium Businesses, Wine And Spirits, Winery",Between €500K-€ 1 million,2016,http://www.ricamosystem.it/,N/A
Drafter Ai,Latvia,Riga,"AI, ML, data, low-code",Between €1-€100K,2019,https://drafter.ai,N/A
Draftrunner,Germany,Frankfurt,"consulting, growth, performance",N/A,2019,https://www.draftrunner.de,N/A
Drag Bot,Germany,Stuttgart,"Easy Robot Programming, industrial robots, smartphone, Simple Control, Graphical programming, and DragAndBot",N/A,2016,www.dragandbot.com/en/,N/A
Draglet,Germany,"Munich, Bavaria","Blockchain, Cryptocurrency, Exchange Software",N/A,2013,https://www.draglet.com/,N/A
Dragonlabz,Switzerland,Hergiswil,"ICT Services, IT Consultants, Web3 Experts",No funding announced yet,2022,https://www.dragonlabz.com/,N/A
Dragsa,Spain,El Puerto de Santa María,"Industrial IoT (IIoT), Asset Monitoring, Predictive Maintenance, Real-time Analytics, Digital Twin, Operational Efficiency, Remote Supervision",No funding announced yet,2009,https://www.dragsa.com/,Active
Drainbot,Austria,Graz,maintenance systems,Between €100K-€500K,2020,www.drainbot.at,N/A
Draivi,Finland,Helsinki,"performance marketing, financial services, fintech",No funding announced yet,2012,https://www.draivi.com,Active
Drakonfx,UK,Fleet,"content, video",No funding announced yet,2019,https://www.drakonfx.com/,N/A
Drastyc,Cyprus,Nicosia,"data, analytics, AI, automation",No funding announced yet,2022,https://www.drastyc.net,N/A
Dratio,Spain,Madrid,"data, analytics, machine learning, artificial intelligence,",No funding announced yet,2022,https://dratio.io,Active
Draupnir Bio,Denmark,"Risskov, Midtjylland","Biotechnology, Health Care, Pharmaceutical, Therapeutics",Above €25 million,2017,http://www.draupnir.bio/,N/A
Draw Me A Garden,France,Orléans,"Landscape Design, Consultancy, Technology",Between €1-€100K,2017,www.dmag.fr/,N/A
Drawfolio,Spain,Valencia,"saas, illustration, art, portfolio, websites",N/A,2014,http://www.drawfolio.com/en,N/A
Drawify,Belgium,Antwerp,Media,Above €25 million,2020,https://drawify.com/,Active
Drawpoint,UK,London,"no code, interactive images, interactive maps, web development",Between €1-€100K,2021,https://www.drawpoint.io,N/A
Drb,Italy,Milan,Drones,Above €25 million,2016,https://drb.aero/,Active
Drc Congo Investment,Belgium,Evere,"community, blockchain, marketplace",No funding announced yet,2019,https://www.drcinvestment.com,N/A
Drct,Malta,Malta,SaaS,Above €25 million,2019,https://inhovate.com/,Active
Dream Kollab,UK,Manchester,"Software Development, Augmented Reality, Outsourcing, Marketing",Between €100K-€500K,2021,https://squid.biz/,N/A
Dream Reality Interactive,UK,London,Information Technology,No funding announced yet,2016,http://www.dreamrealityinteractive.com/,N/A
Dream Sports Platform,Switzerland,Zurich,"Digital entertainment, Gaming, Software",Between €100K-€500K,2023,https://dsplatform.io/,Active
Dream Store,Switzerland,Geneva,"Internet, Logistics, Retail, Shipping",No funding announced yet,2021,https://www.dreamstore.ch,N/A
Dreamcamper,Netherlands,Amsterdam,"Camperverhuur,Luxe campers,Camper huren",Between €500K-€ 1 million,2023,https://dreamcamper.nl/,Active
Dreamdata,Denmark,Copenhagen,"Analytics, B2B, Cloud Data Services, Data Integration",Between €2.5 million-5 million,2018,https://dreamdata.io/,N/A
Dreamhack Sports Games,Denmark,Copenhagen,"Gaming, Media and Entertainment, Sports",No funding announced yet,2020,https://dreamhacksportsgames.com/,N/A
Dreaminfluencers,Denmark,Copenhagen,"Advertising, E-Commerce, Information Technology, Marketing, Marketplace, SaaS, Software",No funding announced yet,2018,https://dreaminfluencers.com,N/A
Dreampetsai,Austria,Eglau,"Pet, AI Image, Photo Filter",No funding announced yet,2024,http://dreampets.ai/,Active
Dreamquark,France,Paris,"AI, banks, deep learning",No funding announced yet,2014,https://www.dreamquark.com,N/A
Dreams,Sweden,Stockholm,"Fintech, Finance, Mobile, Stockholm",N/A,2014,http://getdreams.com/,N/A
Dreamteam,Germany,Frankfurt,"teambuilding, culture building, team events",Between €500K-€ 1 million,2021,https://www.ourdreamteam.io/,Active
Dreamtim Blooming,France,Paris,"Healthcare, Women Health, e-commerce",Between €100K-€500K,2018,blooming.rocks/,N/A
Dreamwaves,Austria,Vienna,"Mobile Apps, IT, Social Impact, Augmented Reality",No funding announced yet,2019,https://www.dreamwaves.io/,Active
Dreamy,Sweden,Stockholm,"Advertising Platforms, Content Creators, Film Production",Between €500K-€ 1 million,2022,www.dreamy.xxx,N/A
Dreamztime,UK,Reading,"Bespoke Fitted Furniture, Fitted Furniture, bespoke fitted wardrobes, bespoke fitted Bedrooms",Between €1-€100K,2010,https://Dreamztime.com/,Active
Dreem,France,Paris,"Neuroscience, Wearables, Sleep, Wellness, HealthTech, Dreem, Paris",N/A,2014,https://dreem.com/en,N/A
Drem,Sweden,Stockholm,"renewable energy, Consumer Services, HVAC, climate",No funding announced yet,2023,https://drem.se/,N/A
Dressarte,France,Paris,"sustainable fashion, sustainable wedding, custom online clothes, online tailoring",N/A,2019,https://www.dressarteparis.com/,N/A
Dressmocracy,Spain,Sevilla,"CircularFashion, B2BMarketplace, SustainableFashion, GlobalFashionTrade",Between €100K-€500K,2024,https://dressmocracy.com/,Active
Dressoir,Netherlands,Amsterdam,"fashion, life style, webshop",No funding announced yet,2020,http://www.dressoir.store/,N/A
Drest,UK,London,"Fashion, Gaming, Video Games",No funding announced yet,2019,https://drest.com,N/A
Drexcode,Italy,Milan,"Fashion Tech, Sustainable, eCommerce, web boutique, Drexcode, Milan",N/A,2014,www.drexcode.com,N/A
Dribo,Spain,Barcelona,"App Marketing, Apps, Digital Marketing",Between €500K-€ 1 million,2017,https://dribo.es/,N/A
