name,company_number,jurisdiction_code,incorporation_date,company_type,branch,inactive,registered_address_street_address,registered_address_locality,registered_address_region,registered_address_postal_code,registered_address_country,country,started_in_year
""" G & F EVENTS""",0811456270,be,2009-04-27,Société privée à responsabilité limitée,,True,Rue Georges-Willame 10,Nivelles,,1400,Belgium,Belgium,2009.0
""" G.H. EPURATION """,0825120897,be,2010-04-01,Société ou association sans personnalité juridique,,False,Sart d'Avette(AWR) 110,Flémalle,,4400,Belgium,Belgium,2010.0
""" GDF Impact """,0765740566,be,2021-03-26,Société à responsabilité limitée,,False,Rue Robert Thoreau 14,Woluwe-Saint-Pierre,,1150,Belgium,Belgium,2021.0
""" GDHL """,0830987419,be,2010-11-09,Société privée à responsabilité limitée,,True,Avenue Reine Astrid 42,Waremme,,4300,Belgium,Belgium,2010.0
""" GO&BE """,0830903978,be,2010-11-05,Société privée à responsabilité limitée,,False,Chemin de la Julienne 4,Blégny,,4671,Belgium,Belgium,2010.0
""" Gilson """,0655876386,be,2016-07-01,Activités,,False,Avenue de la Porallée 55,Aywaille,,4920,Belgium,Belgium,2016.0
""" H & R""",0830931890,be,2010-12-01,Activités,,False,Place des Nations-Unies 7,Liège,,4020,Belgium,Belgium,2010.0
""" H+E """,0682920481,be,2017-10-14,Société privée à responsabilité limitée,,False,Rue Maurice Lange 14,Rebecq,,1430,Belgium,Belgium,2017.0
""" HG PRODUCTIONS """,0830213397,be,2010-10-13,Société privée à responsabilité limitée,,True,Clos Robinson(VIS) 6,Visé,,4600,Belgium,Belgium,2010.0
""" HOUDSTERMAATSCHAPPIJ LAURIERGRACHT "" DE BUFFEL""B.V.""",0888974415,be,2007-04-24,Entité étrangère,F,False,DIJKWACHT 49,LEIDERDORP,,2353EG,Pays-Bas,Belgium,2007.0
""" IMMO MIJA SOL """,0822160122,be,2010-01-12,Société privée à responsabilité limitée,,True,Rue Pirnay 24,Liège,,4020,Belgium,Belgium,2010.0
""" JM BUILDING """,0808005149,be,2008-11-21,Société privée à responsabilité limitée,,True,Rue du Rouge-Bouton 45,Ittre,,1460,Belgium,Belgium,2008.0
""" JP DELHOUGNE Management """,0830062157,be,2010-10-07,Société civile sous forme de société en commandite simple,,False,Rue de Henne 6,Chaudfontaine,,4053,Belgium,Belgium,2010.0
""""" А ЕНД В КОНСУЛТ """" ООД",201898201,bg,2012-02-02,Limited Liability Company (Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
""""" А и С ТРАНСПОРТ """" ООД",202155357,bg,2012-07-18,Limited Liability Company (Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
