country,company_name,city,funding_amount,industry_tags,start_year,status,website
Germany,Solarimo,Berlin,,"Commercial, Industrial, Solar",2017,True,https://solarimo.de/
Germany,Solaris Bank,Berlin,,"fintech, banking, mobile",2016,True,https://www.solarisbank.de
Germany,Solaris Digital Assets,Berlin,,"Banking, Cryptocurrency, Technical Support",2019,True,https://www.solarisdigitalassets.com/de/
UK,Solaris Offgrid,London,1750000.0,"Clean Energy, Solar",2014,True,http://www.solarisoffgrid.com/
Germany,Solarisbank,Berlin,,"Fintech, BaaS, Banking, Digital Products",2016,True,www.solarisbank.com
Germany,Solarize,Stuttgart,,"Information Services, Information Technology, Electricity",2020,True,https://www.solarize.de/
Spain,Solarmente,Barcelona,,"solar energy, solar subscription, renewable energy, block chain peer-to-peer trading",2019,True,www.solarmente.es
Estonia,Solarstone,Viljandi,300000.0,"solar, PV, renewables",2015,True,www.solarstone.ee
Germany,Solarwatch,Berlin,,"iOS,app,sunrise,sunset",2017,True,https://solarwat.ch
UK,Solasta Bio,Glasgow,1750000.0,"Biotechnology, Information Technology, Science",2020,True,https://solastabio.com/
Spain,Solatom,Valencia,750000.0,CleanTech,2016,True,https://solatom.com/
Germany,Solavieve Technologies,Heidelberg,300000.0,"Apps, Health Care, Information Technology, Mobile",2019,True,https://solavieve.com/
Switzerland,Solaxer,Ecublens,3750000.0,Sustainability,2021,True,https://www.solaxer.com/
Switzerland,Solcept,Wetzikon,,"Embedded Systems, Embedded Software, Safety, Security, IoT Development",2004,True,http://www.solcept.ch
UK,Soldo,London,,"FinTech, Multi-user, Expence Account",2014,True,http://www.soldo.com/
Romania,Soleadify,Bucuresti,,"b2b prospecting tool, prospecting websites,sales intelligence tool",2019,True,https://www.soleadify.com/
Netherlands,Solease,Utrecht,,"Solar Energy, GreenTech, Smart Energy",2011,True,www.solease.nl
Switzerland,Soleil One,Zurich,50000.0,"Health Care, Health Diagnostics, Personal Health, Web Apps",2021,True,https://soleil.one/
UK,Solena Materials,London,,"fashion, protein materials, textile, textile industry",2022,True,https://www.solena-materials.com/
Finland,Soletair Power,Lappeenranta,1750000.0,"Environmental Engineering, Green Building, GreenTech, Renewable Energy",2016,True,https://www.soletairpower.fi/
Malta,Solfy,San Ġwann,,"FinTech, Banking, Loans, Solfy, Malta",2018,True,https://solfy.com/
Norway,Solgt No,Oslo,,"Real Estate, Digital, Housing Market",2020,True,http://www.solgt.no
Netherlands,Solho,Delft,50000.0,"Renewable Energy, Sustainable, Electricity",2017,True,https://www.solho.eu/
Estonia,Solid World Dao,Tartu,1750000.0,"Financial Services, Blockchain, WebTech",2021,True,https://www.solid.world/
Netherlands,Solidq It,Mijdrecht,,"Information Technology, Landscape, Organization",2018,True,https://solidq.nl/
Ireland,Solidroad,Dublin,7500000.0,SaaS,2023,True,https://www.solidroad.com/
